Ürün,Ağırlık,2024-10-07,Endeks_2024-10-06,Endeks_2024-10-07,Ağırlıklı Endeks_2024-10-07
"Alkolsüz içecekler (meşrubat, ayran vb.)",1.3724232150691018,-0.044841897233201554,100,99.95515810276679,1.3718077944613958
"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",1.4800747094815234,-0.2744453569766263,100,99.72555464302337,1.4760127131615661
Dana eti,9.119303296365574,-0.8037379667592595,100,99.19626203324074,9.046007993468756
Diğer etler ve yenilebilir sakatatlar,0.3097762660013108,0.0,100,100.0,0.3097762660013108
"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",4.730758465233567,0.0,100,100.0,4.730758465233567
"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",2.1775607313753325,-0.09114814136167126,100,99.90885185863833,2.175575925241662
Dondurma,0.4710117473592185,0.0,100,100.0,0.4710117473592185
Ekmek,8.776320529931427,0.0,100,100.0,8.776320529931427
Kahvaltılık tahıl ürünleri,0.1519107696162305,5.154855226986051,100,105.15485522698604,0.1597415498641475
Kahve,0.6847446921208575,-0.20615738636886222,100,99.79384261363113,0.6833330403602815
Konserve edilmiş veya işlenmiş balık,0.1221274688565322,0.0,100,100.0,0.1221274688565322
"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",3.507428307094317,0.46371292296243277,100,100.46371292296243,3.5236927054179557
Kuru baklagiller,1.1158114111088786,0.0,100,100.0,1.1158114111088786
Kuru meyve ve sert kabuklu yemişler,3.184875896000373,-0.08019430283846529,100,99.91980569716154,3.182321806979305
Kuzu eti,3.679768700846963,0.49034314248496735,100,100.49034314248497,3.697812194330874
Makarna çeşitleri,0.8980576710372725,1.4149593250253576,100,101.41495932502535,0.9107648217977199
Margarin,0.28944541733794,-0.32597623089983,100,99.67402376910017,0.28850189407598953
Meyve ve sebze suları,0.4280952609683143,0.0,100,100.0,0.42809526096831424
Patates,1.0684008631610724,0.0,100,100.0,1.0684008631610724
Peynir,5.669152797670822,-0.055291979194418306,100,99.94470802080558,5.666018210885434
Pirinç,1.2066627330179651,0.0,100,100.0,1.2066627330179651
"Reçel, marmelat, bal vb. ürünler",1.0296044961498976,0.03565117240045362,100,100.03565117240045,1.0299715622238628
Su ve maden suyu,1.491697827638711,0.0,100,100.0,1.491697827638711
Süt,2.509175154887781,-0.09898709145238914,100,99.90101290854761,2.506691395382512
"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",4.147343698268166,0.0,100,100.0,4.147343698268166
Tavuk eti,5.684145968910503,0.10334240578785779,100,100.10334240578787,5.6900201021032695
Taze balık,1.080590089901236,0.0,100,100.0,1.080590089901236
Taze meyveler,7.453082763455332,-1.1335592784431567,100,98.86644072155684,7.368597652260137
Taze sebzeler (patates hariç),10.521887916131522,0.0,100,100.0,10.521887916131522
Tereyağı,1.321039294717396,0.0,100,100.0,1.3210392947173957
Toz kakao,0.0216182334657123,0.0,100,100.0,0.0216182334657123
Un ve diğer tahıllar,2.3152862523861977,0.5564926690484275,100,100.55649266904842,2.3281706506482127
Yumurta,2.7397097152964887,0.0,100,100.0,2.7397097152964887
Çay ve bitki çayları,2.540686414604421,0.0,100,100.0,2.540686414604421
Çikolata ve şekerlemeler,2.476960433833644,0.0,100,100.0,2.476960433833644
"Şarküteri ürünleri (sucuk, sosis, salam vb.)",2.714627468468462,5.802096723667274,100,105.80209672366728,2.8721327798762424
Şeker,1.5088333222298904,0.0,100,100.0,1.5088333222298906
