,Motorin
2005-01-31,1.75
2005-02-28,1.78
2005-03-31,1.87
2005-04-30,1.94
2005-05-31,1.88
2005-06-30,1.96
2005-07-31,2
2005-08-31,2.02
2005-09-30,2.1
2005-10-31,2.1
2005-11-30,2.03
2005-12-31,2.02
2006-01-31,2.05
2006-02-28,2.05
2006-03-31,2.07
2006-04-30,2.13
2006-05-31,2.23
2006-06-30,2.36
2006-07-31,2.4
2006-08-31,2.36
2006-09-30,2.29
2006-10-31,2.24
2006-11-30,2.2
2006-12-31,2.23
2007-01-31,2.13
2007-02-28,2.15
2007-03-31,2.21
2007-04-30,2.26
2007-05-31,2.26
2007-06-30,2.25
2007-07-31,2.2716
2007-08-31,2.2799
2007-09-30,2.3076
2007-10-31,2.3102
2007-11-30,2.5535
2007-12-31,2.5211
2008-01-31,2.5183
2008-02-29,2.5986
2008-03-31,2.7815
2008-04-30,2.9353
2008-05-31,3.0992
2008-06-30,3.1683
2008-07-31,3.1871
2008-08-31,2.8777
2008-09-30,2.8277
2008-10-31,2.7637
2008-11-30,2.7049
2008-12-31,2.4373
2009-01-31,2.3619
2009-02-28,2.2906
2009-03-31,2.2964
2009-04-30,2.3662
2009-05-31,2.3693
2009-06-30,2.462
2009-07-31,2.3822
2009-08-31,2.5396
2009-09-30,2.5483
2009-10-31,2.6035
2009-11-30,2.69
2009-12-31,2.6772
2010-01-31,3.0192
2010-02-28,3.005
2010-03-31,3.0838
2010-04-30,3.1058
2010-05-31,3.0792
2010-06-30,3.0738
2010-07-31,3.0252
2010-08-31,3.0712
2010-09-30,3.0623
2010-10-31,3.0738
2010-11-30,3.1098
2010-12-31,3.2453
2011-01-31,3.3435
2011-02-28,3.4278
2011-03-31,3.6514
2011-04-30,3.6069
2011-05-31,3.547
2011-06-30,3.6199
2011-07-31,3.7009
2011-08-31,3.7625
2011-09-30,3.8009
2011-10-31,3.8501
2011-11-30,3.8332
2011-12-31,3.8525
2012-01-31,3.8927
2012-02-29,3.8772
2012-03-31,3.9937
2012-04-30,3.9997
2012-05-31,3.851
2012-06-30,3.7386
2012-07-31,3.7977
2012-08-31,3.9352
2012-09-30,4.0837
2012-10-31,4.3541
2012-11-30,4.2096
2012-12-31,4.2022
2013-01-31,4.2301
2013-02-28,4.2972
2013-03-31,4.2769
2013-04-30,4.1582
2013-05-31,4.1535
2013-06-30,4.2527
2013-07-31,4.3585
2013-08-31,4.3923
2013-09-30,4.5387
2013-10-31,4.4592
2013-11-30,4.4601
2013-12-31,4.5316
2014-01-31,4.6622
2014-02-28,4.7408
2014-03-31,4.6328
2014-04-30,4.3449
2014-05-31,4.3205
2014-06-30,4.4393
2014-07-31,4.4422
2014-08-31,4.434
2014-09-30,4.3892
2014-10-31,4.2956
2014-11-30,4.1735
2014-12-31,3.8836
2015-01-31,3.6575
2015-02-28,3.8271
2015-03-31,3.8024
2015-04-30,3.8718
2015-05-31,4.0658
2015-06-30,4.0383
2015-07-31,3.9316
2015-08-31,3.8399
2015-09-30,3.9458
2015-10-31,3.8863
2015-11-30,3.775
2015-12-31,3.5856
2016-01-31,3.4332
2016-02-29,3.4428
2016-03-31,3.571
2016-04-30,3.5917
2016-05-31,3.7847
2016-06-30,3.8735
2016-07-31,3.8162
2016-08-31,3.7658
2016-09-30,4.0207
2016-10-31,4.2343
2016-11-30,4.216
2016-12-31,4.4716
2017-01-31,4.686
2017-02-28,4.6951
2017-03-31,4.5799
2017-04-30,4.6194
2017-05-31,4.5129
2017-06-30,4.4123
2017-07-31,4.4765
2017-08-31,4.5957
2017-09-30,4.6741
2017-10-31,4.8202
2017-11-30,5.0646
2017-12-31,5.1024
2018-01-31,5.1803
2018-02-28,5.1349
2018-03-31,5.223
2018-04-30,5.5347
2018-05-31,5.6866
2018-06-30,5.7422
2018-07-31,5.7428
2018-08-31,6.0299
2018-09-30,6.3542
2018-10-31,6.4111
2018-11-30,6.3893
2018-12-31,5.98
2019-01-31,5.9955
2019-02-28,6.1642
2019-03-31,6.4145
2019-04-30,6.475
2019-05-31,6.5397
2019-06-30,6.4404
2019-07-31,6.5023
2019-08-31,6.298
2019-09-30,6.5057
2019-10-31,6.574
2019-11-30,6.6202
2019-12-31,6.5974
2020-01-31,6.6278
2020-02-29,6.4563
2020-03-31,5.8166
2020-04-30,5.2779
2020-05-31,5.3999
2020-06-30,5.7501
2020-07-31,6.0076
2020-08-31,6.1638
2020-09-30,6.0172
2020-10-31,6.1754
2020-11-30,6.3965
2020-12-31,6.6961
2021-01-31,6.7183
2021-02-28,6.7322
2021-03-31,6.6519
2021-04-30,6.5348
2021-05-31,6.8317
2021-06-30,7.3237
2021-07-31,7.3287
2021-08-31,7.3713
2021-09-30,7.3836
2021-10-31,7.8732
2021-11-30,8.6709
2021-12-31,10.6783
2022-01-31,13.8452
2022-02-28,15.5104
2022-03-31,20.5784
2022-04-30,21.4991
2022-05-31,22.2086
2022-06-30,27.9772
2022-07-31,26.0259
2022-08-31,24.0612
2022-09-30,24.8487
2022-10-31,26.2623
2022-11-30,25.4233
2022-12-31,22.2562
2023-01-31,22.9381
2023-02-28,21.481
2023-03-31,21.2818
2023-04-30,21.1161
2023-05-31,19.3325
2023-06-30,22.0709
2023-07-31,29.8242
2023-08-31,37.9004
2023-09-30,39.6553
2023-10-31,39.4944
2023-11-30,38.3827
2023-12-31,37.0051
2024-01-31,39.7935
2024-02-29,43.0968
2024-03-31,42.0568
2024-04-30,42.6763
2024-05-31,41.2854
2024-06-30,41.4054
2024-07-31,45.1811
