,Faiz
2011-01-31,6.438571428571429
2011-02-28,6.25
2011-03-31,6.25
2011-04-30,6.267619047619048
2011-05-31,6.25
2011-06-30,6.25
2011-07-31,6.25
2011-08-31,5.891904761904762
2011-09-30,5.75
2011-10-31,6.01047619047619
2011-11-30,6.56
2011-12-31,7.880909090909091
2012-01-31,8.874090909090908
2012-02-29,7.621428571428572
2012-03-31,8.145454545454545
2012-04-30,8.752500000000001
2012-05-31,9.745
2012-06-30,9.146666666666668
2012-07-31,8.046363636363637
2012-08-31,6.7585
2012-09-30,6.14
2012-10-31,5.7965
2012-11-30,5.688636363636364
2012-12-31,5.574285714285715
2013-01-31,5.612727272727272
2013-02-28,5.5475
2013-03-31,5.5495238095238095
2013-04-30,5.525714285714286
2013-05-31,4.835454545454545
2013-06-30,5.007
2013-07-31,5.303478260869565
2013-08-31,6.622631578947368
2013-09-30,6.363333333333333
2013-10-31,6.236666666666666
2013-11-30,6.507619047619047
2013-12-31,6.842272727272728
2014-01-31,7.503636363636363
2014-02-28,10.0705
2014-03-31,10.200952380952382
2014-04-30,10.046190476190477
2014-05-31,9.891
2014-06-30,9.428571428571429
2014-07-31,8.6
2014-08-31,8.282380952380953
2014-09-30,8.340909090909092
2014-10-31,8.388
2014-11-30,8.292
2014-12-31,8.508260869565218
2015-01-31,8.248095238095239
2015-02-28,7.9245
2015-03-31,7.796818181818182
2015-04-30,8.050952380952381
2015-05-31,8.26157894736842
2015-06-30,8.455
2015-07-31,8.482272727272727
2015-08-31,8.64
2015-09-30,8.882
2015-10-31,8.819047619047618
2015-11-30,8.719047619047618
2015-12-31,8.792173913043479
2016-01-31,8.9145
2016-02-29,9.057142857142855
2016-03-31,8.953913043478261
2016-04-30,8.664285714285715
2016-05-31,8.503333333333334
2016-06-30,8.342727272727272
2016-07-31,8.115555555555554
2016-08-31,7.991818181818181
2016-09-30,7.839444444444445
2016-10-31,7.766666666666667
2016-11-30,7.881363636363636
2016-12-31,8.281363636363636
2017-01-31,8.924999999999999
2017-02-28,10.3715
2017-03-31,10.97608695652174
2017-04-30,11.5125
2017-05-31,11.924761904761905
2017-06-30,11.96
2017-07-31,11.948571428571428
2017-08-31,11.975
2017-09-30,11.994736842105263
2017-10-31,11.959545454545456
2017-11-30,12.052272727272726
2017-12-31,12.511904761904765
2018-01-31,12.75
2018-02-28,12.75
2018-03-31,12.75
2018-04-30,12.8625
2018-05-31,14.318181818181818
2018-06-30,17.315
2018-07-31,17.750454545454545
2018-08-31,18.297222222222224
2018-09-30,21.8775
2018-10-31,24.003636363636364
2018-11-30,24.0
2018-12-31,24.00619047619048
2019-01-31,24.003636363636364
2019-02-28,24.0
2019-03-31,24.193809523809524
2019-04-30,24.520952380952384
2019-05-31,24.485454545454544
2019-06-30,23.91705882352941
2019-07-31,23.27136363636364
2019-08-31,19.605
2019-09-30,17.81142857142857
2019-10-31,15.764545454545454
2019-11-30,13.722857142857142
2019-12-31,12.621363636363638
2020-01-31,11.203181818181818
2020-02-29,10.837
2020-03-31,10.116363636363635
2020-04-30,9.018571428571429
2020-05-31,8.26705882352941
2020-06-30,7.660454545454545
2020-07-31,7.5495238095238095
2020-08-31,9.049
2020-09-30,10.453636363636363
2020-10-31,12.18190476190476
2020-11-30,14.538571428571428
2020-12-31,15.285217391304348
2021-01-31,17.0
2021-02-28,17.0015
2021-03-31,17.63086956521739
2021-04-30,19.0
2021-05-31,19.0
2021-06-30,19.0
2021-07-31,19.0
2021-08-31,19.0
2021-09-30,18.862272727272728
2021-10-31,17.677
2021-11-30,15.708181818181815
2021-12-31,14.60217391304348
2022-01-31,14.0
2022-02-28,14.0
2022-03-31,14.0
2022-04-30,14.00095238095238
2022-05-31,14.0
2022-06-30,14.005
2022-07-31,14.000555555555556
2022-08-31,13.71
2022-09-30,12.809545454545455
2022-10-31,11.646190476190476
2022-11-30,10.366363636363635
2022-12-31,9.002727272727272
2023-01-31,9.006818181818183
2023-02-28,8.9705
2023-03-31,8.513478260869565
2023-04-30,8.574736842105262
2023-05-31,8.89857142857143
2023-06-30,9.31578947368421
2023-07-31,15.31095238095238
2023-08-31,18.092272727272725
2023-09-30,26.169047619047618
2023-10-31,30.27409090909091
2023-11-30,35.76681818181818
2023-12-31,40.51380952380952
2024-01-31,42.70318181818182
2024-02-29,45.23952380952381
2024-03-31,47.287619047619046
2024-04-30,51.35722222222222
2024-05-31,50.54454545454546
2024-06-30,50.10647058823529
2024-07-31,50.0
2024-08-31,50.33761904761904
2024-09-30,51.16153846153846
