,Alt Sınır,Üst Sınır,Önceki TÜFE,Tahmin TÜFE Üst Sınır,Tahmin TÜFE Alt Sınır,Aylık Alt Sınır,Aylık Üst Sınır,Tahmin TÜFE Orta,Aylık Orta
2024-12-31,42.0,46.0,1859.38,2714.6948,2640.3196,-0.6363920323043226,2.162582840025151,2677.5072,0.7630954038604143
2025-01-31,38.98,44.69,1984.02,2870.6785379999997,2757.3909959999996,4.433985794749984,5.7459032963852685,2814.0347669999996,5.0990550837734405
2025-02-28,36.33,43.06,2073.88,2966.8927280000003,2827.320604,2.536078782495621,3.351618397057887,2897.106666,2.9520565976717483
2025-03-31,33.67,41.43,2139.47,3025.8524209999996,2859.8295489999996,1.1498145966894135,1.9872539523781318,2942.840985,1.578620474583503
2025-04-30,31.43,40.0,2207.5,3090.5,2901.31725,1.4507053755881127,2.1365079985836033,2995.908625,1.8032792213541926
2025-05-31,28.57,37.96,2281.85,3148.0402599999998,2933.774545,1.118708924368761,1.8618430674647968,3040.9074025,1.5020076755511758
2025-06-30,27.14,36.73,2319.29,3171.1652169999998,2948.7453060000003,0.5102900979734315,0.7345826320531268,3059.9552615000002,0.626387340316259
2025-07-31,24.29,34.29,2394.1,3215.03689,2975.62689,0.9116278691585267,1.3834559222841047,3095.33189,1.1561158734934462
2025-08-31,21.84,32.24,2453.34,3244.296816,2989.149456,0.4544442734216725,0.9100961202345603,3116.723136,0.6910808520762535
2025-09-30,19.39,30.0,2526.16,3284.008,3015.982424,0.8976790352900776,1.2240305450523126,3149.995212,1.0675338985259186
2025-10-31,17.96,28.98,2598.91,3352.074118,3065.674236,1.647616100298599,2.072653842499772,3208.8741769999997,1.8691763332115086
2025-11-30,16.33,27.55,2657.23,3389.2968650000003,3091.155659,0.8311849543821026,1.110439259088003,3240.226262,0.9770431394512169
2025-12-31,16.0,26.0,,3420.515448,3062.7707359999995,-0.918262492455113,0.9210932014360296,3241.643092,0.043726267409649466
