,Ortalama
2006-01-31,123.56999999999996
2006-02-28,123.84
2006-03-31,124.18000000000004
2006-04-30,125.84
2006-05-31,128.20000000000002
2006-06-30,128.63000000000002
2006-07-31,129.72
2006-08-31,129.15000000000003
2006-09-30,130.80999999999997
2006-10-31,132.47
2006-11-30,134.18000000000004
2006-12-31,134.49
2007-01-31,135.83999999999997
2007-02-28,136.42000000000002
2007-03-31,137.67000000000002
2007-04-30,139.32999999999998
2007-05-31,140.03
2007-06-30,139.69000000000003
2007-07-31,138.67000000000002
2007-08-31,138.70000000000002
2007-09-30,140.13000000000002
2007-10-31,142.67000000000002
2007-11-30,145.45000000000002
2007-12-31,145.77
2008-01-31,146.94000000000003
2008-02-29,148.83999999999997
2008-03-31,150.27
2008-04-30,152.79
2008-05-31,155.06999999999996
2008-06-30,154.51
2008-07-31,155.40000000000003
2008-08-31,155.02
2008-09-30,155.72
2008-10-31,159.77
2008-11-30,161.09999999999997
2008-12-31,160.44000000000003
2009-01-31,160.90000000000003
2009-02-28,160.34999999999997
2009-03-31,162.11999999999998
2009-04-30,162.15000000000003
2009-05-31,163.19000000000003
2009-06-30,163.36999999999998
2009-07-31,163.78
2009-08-31,163.29
2009-09-30,163.93000000000004
2009-10-31,167.88000000000002
2009-11-30,170.01
2009-12-31,170.91000000000003
2010-01-31,174.06999999999996
2010-02-28,176.58999999999997
2010-03-31,177.61999999999998
2010-04-30,178.68000000000004
2010-05-31,178.04
2010-06-30,177.04
2010-07-31,176.19000000000003
2010-08-31,176.90000000000003
2010-09-30,179.06999999999996
2010-10-31,182.34999999999997
2010-11-30,182.40000000000003
2010-12-31,181.84999999999997
2011-01-31,182.59999999999997
2011-02-28,183.93000000000004
2011-03-31,184.70000000000002
2011-04-30,186.29999999999998
2011-05-31,190.80999999999997
2011-06-30,188.07999999999998
2011-07-31,187.30999999999997
2011-08-31,188.67000000000002
2011-09-30,190.08999999999997
2011-10-31,196.30999999999997
2011-11-30,199.70000000000002
2011-12-31,200.84999999999997
2012-01-31,201.98
2012-02-29,203.11999999999998
2012-03-31,203.96
2012-04-30,207.05
2012-05-31,206.61000000000007
2012-06-30,204.76
2012-07-31,204.29
2012-08-31,205.43
2012-09-30,207.55
2012-10-31,211.61999999999995
2012-11-30,212.42000000000002
2012-12-31,213.22999999999996
2013-01-31,216.74
2013-02-28,217.38999999999993
2013-03-31,218.82999999999998
2013-04-30,219.75
2013-05-31,220.07
2013-06-30,221.75
2013-07-31,222.44
2013-08-31,222.20999999999998
2013-09-30,223.91000000000003
2013-10-31,227.94
2013-11-30,227.95999999999998
2013-12-31,229.01000000000005
2014-01-31,233.54000000000002
2014-02-28,234.54000000000002
2014-03-31,237.18
2014-04-30,240.36999999999995
2014-05-31,241.32
2014-06-30,242.07
2014-07-31,243.17000000000002
2014-08-31,243.40000000000003
2014-09-30,243.73999999999995
2014-10-31,248.36999999999995
2014-11-30,248.82
2014-12-31,247.71999999999997
2015-01-31,250.45
2015-02-28,252.23999999999995
2015-03-31,255.22999999999996
2015-04-30,259.38999999999993
2015-05-31,260.84999999999997
2015-06-30,259.51000000000005
2015-07-31,259.73999999999995
2015-08-31,260.7799999999999
2015-09-30,263.11000000000007
2015-10-31,267.19999999999993
2015-11-30,268.98
2015-12-31,269.54
2016-01-31,274.44
2016-02-29,274.38000000000005
2016-03-31,274.27
2016-04-30,276.42
2016-05-31,278.02
2016-06-30,279.33
2016-07-31,282.58
2016-08-31,281.76000000000005
2016-09-30,282.27
2016-10-31,286.33
2016-11-30,287.81
2016-12-31,292.54
2017-01-31,299.73999999999995
2017-02-28,302.17
2017-03-31,305.23999999999995
2017-04-30,309.23
2017-05-31,310.61000000000007
2017-06-30,309.7799999999999
2017-07-31,310.23999999999995
2017-08-31,311.84999999999997
2017-09-30,313.88000000000005
2017-10-31,320.40000000000003
2017-11-30,325.17999999999995
2017-12-31,327.40999999999997
2018-01-31,330.75
2018-02-28,333.17
2018-03-31,336.48
2018-04-30,342.7799999999999
2018-05-31,348.34000000000003
2018-06-30,357.44
2018-07-31,359.40999999999997
2018-08-31,367.65999999999997
2018-09-30,390.84000000000003
2018-10-31,401.27
2018-11-30,395.48
2018-12-31,393.88000000000005
2019-01-31,398.07000000000005
2019-02-28,398.71
2019-03-31,402.81
2019-04-30,409.63
2019-05-31,413.52
2019-06-30,413.63
2019-07-31,419.2399999999999
2019-08-31,422.84000000000003
2019-09-30,427.0400000000001
2019-10-31,435.59000000000003
2019-11-30,437.25
2019-12-31,440.5
2020-01-31,446.44999999999993
2020-02-29,448.02
2020-03-31,450.58000000000004
2020-04-30,454.42999999999995
2020-05-31,460.62
2020-06-30,465.84000000000003
2020-07-31,468.56000000000006
2020-08-31,472.61
2020-09-30,477.2099999999999
2020-10-31,487.38
2020-11-30,498.58000000000004
2020-12-31,504.81000000000006
2021-01-31,513.3000000000001
2021-02-28,517.96
2021-03-31,523.5299999999999
2021-04-30,532.3199999999999
2021-05-31,537.0500000000001
2021-06-30,547.4799999999999
2021-07-31,557.3599999999999
2021-08-31,563.6000000000001
2021-09-30,570.66
2021-10-31,584.3199999999999
2021-11-30,604.84
2021-12-31,686.9499999999999
2022-01-31,763.2299999999999
2022-02-28,799.9300000000001
2022-03-31,843.6400000000001
2022-04-30,904.79
2022-05-31,931.76
2022-06-30,977.8999999999999
2022-07-31,1001.03
2022-08-31,1015.6499999999999
2022-09-30,1046.8899999999999
2022-10-31,1084.0
2022-11-30,1115.26
2022-12-31,1128.4500000000003
2023-01-31,1203.4799999999998
2023-02-28,1241.33
2023-03-31,1269.75
2023-04-30,1300.0400000000002
2023-05-31,1300.6000000000001
2023-06-30,1351.59
2023-07-31,1479.84
2023-08-31,1614.3099999999997
2023-09-30,1691.0400000000004
2023-10-31,1749.1100000000001
2023-11-30,1806.5
2023-12-31,1859.3800000000006
2024-01-31,1984.02
2024-02-29,2073.8800000000006
2024-03-31,2139.4700000000003
2024-04-30,2207.5
2024-05-31,2281.8499999999995
2024-06-30,2319.2900000000004
2024-07-31,2394.0999999999995
2024-08-31,2453.34
2024-09-30,2526.16
2024-10-31,2591.0823119999995
2024-11-30,2643.946484983562
2024-12-31,2704.2692007943606
2025-01-31,2838.7153842525317
2025-02-28,2902.1535374462997
2025-03-31,2968.1317624346943
2025-04-30,3040.525389598245
2025-05-31,3117.9195129922446
2025-06-30,3192.905508414874
2025-07-31,3258.349133498534
2025-08-31,3315.3196612912507
2025-09-30,3369.24612083392
2025-10-31,3427.616836018249
2025-11-30,3480.057078157578
2025-12-31,3531.9560902840267
2026-01-31,3625.4705335714907
2026-02-28,3668.7440982251937
2026-03-31,3716.1632141692708
